i =   0, x =  1.0, lo =  0.0000000000000000, hi =  1.0000000000000000
i =   1, x =  1.0, lo =  0.1330011315375275, hi =  0.8669988684624725
i =   2, x =  1.0, lo =  0.2483129620847923, hi =  0.7516870379152076
i =   3, x =  1.0, lo =  0.3482881886896073, hi =  0.6517118113103927
i =   4, x =  1.0, lo =  0.4349665970302611, hi =  0.5650334029697388
i =   5, x =  1.0, lo =  0.5101166789817362, hi =  0.4898833210182638
i =   6, x =  1.0, lo =  0.5752717149985271, hi =  0.4247282850014729
i =   7, x =  1.0, lo =  0.6317610574997166, hi =  0.3682389425002834
i =   8, x =  1.0, lo =  0.6807372535284368, hi =  0.3192627464715632
i =   9, x =  1.0, lo =  0.7231995600669335, hi =  0.2768004399330665
i =  10, x =  1.0, lo =  0.7600143317881168, hi =  0.2399856682118832
i =  11, x =  1.0, lo =  0.7919326972130869, hi =  0.2080673027869131
i =  12, x =  1.0, lo =  0.8196058839197077, hi =  0.1803941160802923
i =  13, x =  1.0, lo =  0.8435985054810987, hi =  0.1564014945189013
i =  14, x =  1.0, lo =  0.8644000812262731, hi =  0.1355999187737269
i =  15, x =  1.0, lo =  0.8824350238595756, hi =  0.1175649761404244
i =  16, x =  1.0, lo =  0.8980712987154345, hi =  0.1019287012845655
i =  17, x =  1.0, lo =  0.9116279313224324, hi =  0.0883720686775676
i =  18, x =  1.0, lo =  0.9233815164528609, hi =  0.0766184835471391
i =  19, x =  1.0, lo =  0.9335718614613199, hi =  0.0664281385386801
i =  20, x =  1.0, lo =  0.9424068790528960, hi =  0.0575931209471040
i =  21, x =  1.0, lo =  0.9500668293076385, hi =  0.0499331706923615
i =  22, x =  1.0, lo =  0.9567079975109791, hi =  0.0432920024890209
i =  23, x =  1.0, lo =  0.9624658828285443, hi =  0.0375341171714557
i =  24, x =  1.0, lo =  0.9674579628836101, hi =  0.0325420371163899
i =  25, x =  1.0, lo =  0.9717860906426262, hi =  0.0282139093573738
i =  26, x =  1.0, lo =  0.9755385725122542, hi =  0.0244614274877458
i =  27, x =  1.0, lo =  0.9787919700471476, hi =  0.0212080299528524
i =  28, x =  1.0, lo =  0.9816126620285588, hi =  0.0183873379714412
i =  29, x =  1.0, lo =  0.9840581987847234, hi =  0.0159418012152766
i =  30, x =  1.0, lo =  0.9861784763851016, hi =  0.0138215236148984
i =  31, x =  1.0, lo =  0.9880167546654557, hi =  0.0119832453345443
i =  32, x =  1.0, lo =  0.9896105398544419, hi =  0.0103894601455581
i =  33, x =  1.0, lo =  0.9909923498098652, hi =  0.0090076501901348
i =  34, x =  1.0, lo =  0.9921903774776473, hi =  0.0078096225223527
i =  35, x =  1.0, lo =  0.9932290661100012, hi =  0.0067709338899988
i =  36, x =  1.0, lo =  0.9941296079789368, hi =  0.0058703920210632
i =  37, x = -1.0, lo =  0.8619092452227796, hi = -1.8619092452227797
i =  38, x = -1.0, lo =  0.6142732087879661, hi = -1.6142732087879661
i =  39, x = -1.0, lo =  0.3995730454084512, hi = -1.3995730454084512
i =  40, x = -1.0, lo =  0.2134282466997038, hi = -1.2134282466997037
